Run #,filename,sigma_x,sigma_z,ROI_sum,sigma_x fit error,sigma_z fit error
1,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0011938791262945182,1.2832719340531197e-06,6436.206223501782,0.022481071478105647,0.06823827279057082
2,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,4.1730378496474534e-06,0.0011683226601705672,2520.1276760905303,0.022481071478105647,0.06823827279057082
3,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0007418819847366032,0.0011254868158687532,3143.162127731937,0.022481071478105647,0.06823827279057082
4,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,4.1730378496474534e-06,0.0011683226601705672,2520.1276760905303,0.022481071478105647,0.06823827279057082
5,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022481071478105647,0.06823827279057082
6,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022481071478105647,0.06823827279057082
7,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
8,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
9,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
10,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
11,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
12,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
13,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
14,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
15,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
16,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
17,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
18,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
19,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
20,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
21,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
22,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
23,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
24,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
25,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
26,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
27,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
28,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
29,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
30,C:/Users/Atomionics/Desktop/Image_Analysis/image_analysis/2020-12-23-img_00360_d.png,0.0008377923333242959,0.0011914322088059806,2869.4970079021195,0.022477698495432692,0.06824244843309167
